GM_NAAM,GM_CODE,OuderRegioCode,GrootOuderRegioCode,TotalVotes,BBB,Average_House_Price,Average_Income,Population_Density,Population_Increase
Castricum,G0383,K11,P27,25107,891,369.7,30.0,731,-133
Diemen,G0384,K10,P27,15198,240,389.2,26.1,2663,87
Edam-Volendam,G0385,K11,P27,25149,2094,326.3,27.0,671,-25
Enkhuizen,G0388,K11,P27,11167,392,242.8,24.2,1471,-15
Haarlem,G0392,K10,P27,90936,1495,417.6,28.4,5577,220
Haarlemmermeer,G0394,K10,P27,90303,2790,372.3,28.5,808,323
Heemskerk,G0396,K10,P27,24167,966,318.1,26.2,1437,-58
Heemstede,G0397,K10,P27,17447,246,626.6,38.9,3005,-169
Heiloo,G0399,K11,P27,16748,472,388.8,30.1,1305,-106
Den Helder,G0400,K11,P27,31374,1478,175.1,23.5,1249,-183
Hilversum,G0402,K10,P27,51247,1025,404.8,29.7,2013,32
Hoorn,G0405,K11,P27,42406,1383,273.5,24.8,3647,137
Huizen,G0406,K10,P27,25750,674,408.5,29.0,2589,-61
Landsmeer,G0415,K11,P27,7373,262,423.8,30.7,515,-9
Laren,G0417,K10,P27,7326,134,768.1,43.8,929,-179
Medemblik,G0420,K11,P27,28142,2103,292.1,24.6,375,-72
Oostzaan,G0431,K11,P27,6255,240,429.3,28.2,834,1
Opmeer,G0432,K11,P27,7753,850,288.9,24.4,291,13
Ouder-Amstel,G0437,K10,P27,8324,281,494.1,33.8,593,-21
Purmerend,G0439,K11,P27,54694,2310,295.7,25.2,985,12
Schagen,G0441,K11,P27,30889,2516,279.4,25.4,279,-136
Texel,G0448,K11,P27,10211,1079,321.7,24.3,84,-34
Uitgeest,G0450,K11,P27,8819,381,337.0,27.7,708,8
Uithoorn,G0451,K10,P27,17493,585,364.5,28.0,1712,55
Velsen,G0453,K10,P27,41214,1177,343.3,26.7,1521,-151
Zandvoort,G0473,K10,P27,10561,262,408.3,28.8,533,-106
Zaanstad,G0479,K11,P27,83343,2590,292.8,24.4,2131,39
Alblasserdam,G0482,K14,P28,12130,288,268.4,23.7,2290,42
Alphen aan den Rijn,G0484,K15,P28,69475,2734,286.5,26.9,897,101
Barendrecht,G0489,K14,P28,29358,507,352.5,29.2,2488,52
Drechterland,G0498,K11,P27,12953,1121,316.5,25.4,339,5
Capelle aan den IJssel,G0502,K15,P28,34867,627,265.4,25.7,4752,-28
Delft,G0503,K14,P28,59008,925,311.3,24.6,4615,-17
Dordrecht,G0505,K14,P28,65410,1333,237.1,24.7,1541,-24
Gorinchem,G0512,K14,P28,21848,515,266.0,25.5,2011,52
Gouda,G0513,K15,P28,43360,805,251.2,25.6,4491,68
s-Gravenhage,G0518,K12,P28,244439,3147,324.8,25.8,6711,1087
Hardinxveld-Giessendam,G0523,K14,P28,11804,388,267.4,23.3,1098,83
Hendrik-Ido-Ambacht,G0531,K14,P28,19660,372,319.5,26.9,3107,175
Stede Broec,G0532,K11,P27,13379,776,270.9,23.3,1516,22
Hillegom,G0534,K15,P28,13883,462,329.8,26.8,1735,-23
Katwijk,G0537,K15,P28,41707,1442,339.8,24.4,2662,157
Krimpen aan den IJssel,G0542,K15,P28,18184,371,300.0,25.8,3835,-27
Leiden,G0546,K15,P28,76417,976,349.2,26.6,5724,-16
Leiderdorp,G0547,K15,P28,17266,397,325.7,29.0,2388,-23
Lisse,G0553,K15,P28,15200,523,353.9,27.0,1466,-18
Maassluis,G0556,K14,P28,20041,475,251.7,25.2,4046,55
Nieuwkoop,G0569,K15,P28,18863,1513,344.4,27.5,373,35
Noordwijk,G0575,K15,P28,28259,1085,385.0,29.2,760,-39
Oegstgeest,G0579,K15,P28,15671,227,432.4,36.6,3498,-24
Oudewater,G0589,K8,P26,6783,564,360.0,28.1,261,0
Papendrecht,G0590,K14,P28,19705,467,256.4,26.2,3423,-66
Ridderkerk,G0597,K14,P28,28012,565,256.6,25.3,2006,-89
Rotterdam,G0599,K13,P28,294040,3858,282.9,23.7,3001,1166
Rijswijk,G0603,K14,P28,30520,512,280.8,27.6,4079,49
Schiedam,G0606,K14,P28,37707,732,220.5,23.5,4472,147
Sliedrecht,G0610,K14,P28,15235,354,257.4,23.3,2015,17
Albrandswaard,G0613,K14,P28,16041,378,361.9,31.0,1197,63
Vlaardingen,G0622,K14,P28,38143,744,231.4,24.2,3174,-30
Voorschoten,G0626,K15,P28,16105,355,426.9,32.3,2307,-76
Waddinxveen,G0627,K15,P28,19906,622,272.0,26.0,1129,234
Wassenaar,G0629,K15,P28,14980,376,711.3,46.7,530,-260
Woerden,G0632,K8,P26,33904,1552,364.3,28.4,597,-43
Zoetermeer,G0637,K15,P28,71155,1765,289.0,26.4,3653,152
Zoeterwoude,G0638,K15,P28,6151,447,306.3,28.0,440,1
Zwijndrecht,G0642,K14,P28,25143,574,252.2,25.1,2205,-32
Borsele,G0654,K16,P29,14982,1272,241.4,24.5,161,28
Goes,G0664,K16,P29,23824,949,268.7,25.7,421,-124
West Maas en Waal,G0668,K6,P25,13461,1065,308.4,25.2,258,-12
Hulst,G0677,K16,P29,14941,1321,225.3,25.9,137,-139
Kapelle,G0678,K16,P29,8427,522,260.6,25.2,351,7
Middelburg,G0687,K16,P29,29510,939,258.0,24.8,1017,-44
Reimerswaal,G0703,K16,P29,13371,665,217.4,22.0,225,121
Terneuzen,G0715,K16,P29,28902,1831,201.6,24.8,218,-330
Tholen,G0716,K16,P29,16609,970,232.9,22.7,180,104
Veere,G0717,K16,P29,15080,978,332.8,25.7,164,-52
Vlissingen,G0718,K16,P29,24153,857,197.4,23.4,1297,-225
De Ronde Venen,G0736,K8,P26,29137,1607,444.9,31.5,451,-2
Tytsjerksteradiel,G0737,K2,P21,21440,1763,235.6,22.6,217,-115
Asten,G0743,K18,P30,11004,1016,334.2,24.8,243,-31
Baarle-Nassau,G0744,K17,P30,4322,650,334.1,25.0,91,-27
Bergen op Zoom,G0748,K17,P30,38075,1103,255.7,25.0,849,-85
Best,G0753,K18,P30,18758,678,341.0,27.8,903,14
Boekel,G0755,K18,P30,7135,797,315.9,23.6,320,15
Boxtel,G0757,K18,P30,20176,919,337.6,25.3,480,-111
Breda,G0758,K17,P30,108231,2206,350.0,27.3,1470,-17
Deurne,G0762,K18,P30,20753,1965,298.0,24.3,279,-70
Pekela,G0765,K1,P20,7128,578,161.3,19.7,249,-64
Dongen,G0766,K17,P30,16469,746,289.7,25.5,906,-59
Eersel,G0770,K18,P30,12979,974,322.5,28.1,240,-6
Eindhoven,G0772,K18,P30,117774,1754,308.8,26.7,2708,86
Etten-Leur,G0777,K17,P30,26369,1025,300.6,25.6,799,-38
Geertruidenberg,G0779,K17,P30,13366,602,259.4,25.6,825,-26
Gilze en Rijen,G0784,K17,P30,16239,886,304.9,25.0,406,-56
Goirle,G0785,K17,P30,15491,540,339.2,26.6,558,-36
Helmond,G0794,K18,P30,48967,1148,286.8,23.5,1758,75
's-Hertogenbosch,G0796,K18,P30,95833,1919,333.2,27.4,1430,58
Heusden,G0797,K18,P30,28181,1251,330.9,26.0,578,23
Hilvarenbeek,G0798,K17,P30,10913,926,362.6,27.4,167,-1
Loon op Zand,G0809,K17,P30,14832,696,306.8,25.6,476,-65
Nuenen Gerwen en Nederwetten,G0820,K18,P30,15996,464,375.5,30.6,708,-30
Oirschot,G0823,K18,P30,12804,1201,366.3,27.2,187,-34
Oisterwijk,G0824,K17,P30,21220,1039,415.8,29.1,406,-73
Oosterhout,G0826,K17,P30,33687,1164,307.4,26.0,791,-117
Oss,G0828,K18,P30,55769,2308,264.8,24.7,576,-7
Rucphen,G0840,K17,P30,14231,782,290.1,24.0,362,-110
Sint-Michielsgestel,G0845,K18,P30,19345,812,392.0,27.7,510,18
